"usertype","day_of_week","year","number_of_rides","average_duration"
"Customer","Sunday","2016",218279,1896.31259534816
"Customer","Monday","2016",118778,1845.69488457458
"Customer","Tuesday","2016",78180,1809.12611921207
"Customer","Wednesday","2016",59287,1838.09676657615
"Customer","Thursday","2016",67437,1798.36690540801
"Customer","Friday","2016",101940,1853.99946046694
"Customer","Saturday","2016",214573,1867.69104686983
"Subscriber","Sunday","2016",269694,805.786209556015
"Subscriber","Monday","2016",433395,717.466013682668
"Subscriber","Tuesday","2016",463523,702.541181343752
"Subscriber","Wednesday","2016",420466,692.504649603059
"Subscriber","Thursday","2016",434851,698.290193652539
"Subscriber","Friday","2016",427339,704.541387516702
"Subscriber","Saturday","2016",287601,789.335158779003
"Customer","Sunday","2017",180492,1914.15432262926
"Customer","Monday","2017",95251,1815.18405056115
"Customer","Tuesday","2017",72103,1823.90215386322
"Customer","Wednesday","2017",56688,1774.85210273779
"Customer","Thursday","2017",59972,1769.51625758687
"Customer","Friday","2017",84085,1835.75421299875
"Customer","Saturday","2017",210194,1907.37772724245
"Subscriber","Sunday","2017",237143,794.951413282281
"Subscriber","Monday","2017",364670,703.140225409274
"Subscriber","Tuesday","2017",400927,706.584492937617
"Subscriber","Wednesday","2017",385074,688.856022478796
"Subscriber","Thursday","2017",380713,691.092951908656
"Subscriber","Friday","2017",368434,696.047351764495
"Subscriber","Saturday","2017",264022,805.055991546159
"Customer","Sunday","2018",145311,4065.0033858414
"Customer","Monday","2018",80472,3709.35524157471
"Customer","Tuesday","2018",64501,3826.92226477109
"Customer","Wednesday","2018",71489,3372.06125417896
"Customer","Thursday","2018",71259,3461.39218905682
"Customer","Friday","2018",82703,3952.81641536583
"Customer","Saturday","2018",161421,3678.55562783033
"Subscriber","Sunday","2018",260581,992.727175043461
"Subscriber","Monday","2018",448097,819.233927029192
"Subscriber","Tuesday","2018",494083,822.228807710445
"Subscriber","Wednesday","2018",504836,854.030631729908
"Subscriber","Thursday","2018",491387,867.971330132869
"Subscriber","Friday","2018",442978,853.853999521421
"Subscriber","Saturday","2018",283964,983.857612232536
"Customer","Friday","2019",121141,3610.35137566967
"Customer","Monday","2019",101489,3269.73339967878
"Customer","Saturday","2019",208056,3243.56870265698
"Customer","Sunday","2019",170179,3370.84475170262
"Customer","Thursday","2019",101372,3596.78644990727
"Customer","Tuesday","2019",88655,3444.55481360329
"Customer","Wednesday","2019",89745,3619.96361914313
"Subscriber","Friday","2019",456966,833.580097862861
"Subscriber","Monday","2019",458780,854.650989581063
"Subscriber","Saturday","2019",287163,977.914048815481
"Subscriber","Sunday","2019",256241,923.837496731592
"Subscriber","Thursday","2019",486915,826.503880554101
"Subscriber","Tuesday","2019",497025,848.874442935466
"Subscriber","Wednesday","2019",494277,828.310429172306
"Customer","Sunday","2020",255531,3255.16380791372
"Customer","Monday","2020",140188,2809.39397808657
"Customer","Tuesday","2020",136484,2575.4343439524
"Customer","Wednesday","2020",151485,2567.97945011057
"Customer","Thursday","2020",161724,2792.5193230442
"Customer","Friday","2020",201049,2728.80309277838
"Customer","Saturday","2020",312937,2915.91824232993
"Subscriber","Sunday","2020",270086,1089.27266870552
"Subscriber","Monday","2020",291262,897.134397896052
"Subscriber","Tuesday","2020",314200,871.245646085296
"Subscriber","Wednesday","2020",328442,887.453507773062
"Subscriber","Thursday","2020",327696,886.936077950295
"Subscriber","Friday","2020",324743,932.150577533619
"Subscriber","Saturday","2020",311173,1071.20529094748
"Customer","Sunday","2021",46792,2470.98504017781
"Customer","Monday","2021",30690,2326.87142391659
"Customer","Tuesday","2021",33727,2266.53603937498
"Customer","Wednesday","2021",24086,2004.74117744748
"Customer","Thursday","2021",21226,1548.5835767455
"Customer","Friday","2021",35039,2278.28551043123
"Customer","Saturday","2021",57305,2399.49721664776
"Subscriber","Sunday","2021",56304,980.691567206593
"Subscriber","Monday","2021",65700,866.791780821918
"Subscriber","Tuesday","2021",71678,841.609322246714
"Subscriber","Wednesday","2021",65952,819.811984473557
"Subscriber","Thursday","2021",62055,778.8530658287
"Subscriber","Friday","2021",72905,829.384788423291
"Subscriber","Saturday","2021",68663,961.945006772206
